"FAILURECODE","DESCRIPTION"
"NOBLOQUARRANQ","NO BLOQUEA ARRANQUE DE UNIDAD ATRAVES DE LAS VALV"
"NOPRESURACEIT","NO PRESURIZA EL ACEITE"
"APECIEDISTRIB","NO CONTROL APERTURA-CIERRE DE DISTRIBU DE ALABES"
"NOVELOSUICH","NO SENAL DE VELOCIDAD Y SUICHES"
"OBSTRU","OBSTRUCCIÓN"
"BSCM","NO USAR"
"TIEMAPER30","TIEMPO DE APERTURA SUPERIOR A 30 mS"
"CONTACTODEFE","CONTACTO  DE PÓTENCIA AL BARRAJE DEFECTUOSO"
"FG ACE","FUGA DE ACEITE"
"FALL.PULS","FALLA PULSOS DE LUBRICACIÓN"
"PERD.CAU","PERDIDA DE CAUDAL"
"SINENERG","SIN ENERGIA"
"INFRDAÑADA","INFRAESTRUCTURA DAÑADA"
"CONTROLAD","CONTROLADOR"
"FUGAEXT","FUGA EXTERNA"
"NOVAVOSARECA","NO VARIA VOLTAJE SALIDA TRAFO REGULADOR BAJO CARGA"
"NOSUPERVARIA","NO HAY SUPERVISION VARIABLES ELECTRICAS MECANICAS"
"INUNDADA","CAMARA INUNDADA"
"NOPRESIAIREFR","NO INDICA LA PRESION DE AIRE DE FRENADO"
"ALARMREGULAD","NO DA ALARMA DE FALLAS DEL REGULADOR"
"BAJODESP","BAJO DESEMPENO, PRESIÓN/FLUJO"
"FALLA.COM","FALLA DE COMUNICACIÓN CON SISTEMA SCADA"
"IND.MAND.ER","INDICACION DEL MANOMETRO DIFERENCIAL ERRONEA"
"PAR.AGAB","FLUIDO CON PARTICULAS MAYORES A LAS PERMITIDAS"
"NOOPERA","NO OPERA"
"AGARROT","AGARROTADO"
"SINTAPA","SIN TAPA"
"CAPCATC","CAPILARIDAD DE LOS CABLES DEL TC"
"VIBRAEST","VIBRACIONES NUCLEO ESTATOR"
"CIRCUABIERT","NO SE DETECTA CORRIENTE EXITACION POR CIRCUITO ABIERTO"
"DEFIC.ESTRUC","FALLA ESTRUCTURAL"
"ALT.TEMP.COJIN","ALTA TEMPERATURA DEL COJINETE"
"NO.EJEC.ORDEN","NO SE EJECUTAN LAS ORDENES DEL PROGRAMADOR"
"MEDET","MEDIDOR DETERIORADO"
"SENAL.ERRA","SENAL ERRATICA ANALOGIA O DIGITAL"
"NO.EVAC.ACID","NO HAY EVACUACION DE ACIDOS"
"CORT.SOBREC","CORTOCIRCUITO, SOBRECARGA"
"INSTR.NIV.TEMP","FALLA INSTRUMENTACION  (NIVEL, RPM, TEMPERATURA)"
"VIBRAC.DESPLAZA","VIBRACION RUIDO CARRO DESPLAZAMIENTO"
"DANODESCO","DAÑO EN DESCOLE"
"TAPONADO","TAPONADO"
"SOCAVACI","SOCAVACION DEL TERRENO"
"MOTOR_SOBRECAL","MOTOR SOBRECALENTADO"
"DIRECCIO_FALLA","SISTEMA DE DIRECCION EN FALLA"
"FRENOS_FALLA","SISTEMA DE FRENOS EN FALLA"
"REFRED","REFORMA DE RED"
"DEAB","DEVANADO  ABIERTO"
"IMCOMP","INCOMPATIBILIDAD TECNOLOGICA"
"FUGA.FLUI.IM","FUGA DE FLUIDO IMPULSADO"
"PERDIDAGALVI","PERDIDA DE GALVANIZADO EN ESTRUCTURAS"
"DESTRUCCION","DESTRUCCION"
"NOCONTROLPRESI","NO CONTROLA PRESION"
"NOLIMITAPERT","NO LIMITA APERTURA DE ALABES HASTA LA VELO-NOMINAL"
"ALTA.PRES","ALTA PRESION"
"DANO.POT","NO OPERA POR DANO EN POTENCIA"
"HUMEGABICONE","HUMEDAD EN GABINETE DE CONEXIONADO"
"MEMORAM","MEMORIA RAM"
"MONITOR","MONITOR DE TENSIÓN"
"PTO_SERIAL","PUERTO SERIAL"
"DRIVER_BSAP","DRIVER DE COMUNICACION BSAP"
"NOCONMUTMOTOBO","NO CONMUTA DE MOTOBOMBA PPAL A LA DE RESPALDO"
"NOCONMOTOB.PRES","NO CONMUTA MOTOBOM PPAL A DE RESPALD-ALCANZA PRES"
"RUPTURA","RUPTURA DE TUBERÍA"
"FAL.SEN","FALLA EN EL SENSOR DE BAJA FRECUENCIA"
"ROTO","ROTO"
"FALL.LIN","FALLA EN LINEA O CONDUCTOR"
"BOBD","BOBINA DESPLAZADA"
"FAAI","NO OPERATIVO POR DANO DEL AISLAMIENTO"
"PDE","DESVIACION DE PARAMETROS (CORRIENTE/CARGA TRAFO)"
"INESTABILIDA","INESTABILIDAD EN ESTRUCTURA"
"DRIVER_104","DRIVER DE COMUNICACION 104"
"GPS_BLOQ","GPS BLOQUEADO"
"DRIVER_101","DRIVER DE COMUNICACION 101"
"NODESCVOLTCOR","NO DESCONECTA EL VOLTAJE Y LA CORRIENTE DEL ROTOR"
"PROT.DER","LA PROTECCION POR DERIVACION SALTA"
"MED.VOLT","NO HAY MEDIDA DE POTENCIAL"
"PRE.OSCI","CAUDAL OSCILANTE"
"NOCONEVOLTCOR","NO CONECTA EL VOLTAJE Y LA CORRIENTE DEL ROTOR"
"NOVOLTAEXITA","NO INYECTA VOLTAJE DE EXITACION AL ROTOR"
"POSICIONGATO","NO SUMINISTRA LA POSCION DE LOS GATOS"
"ERR.MED","ERROR EN LA MEDIDA"
"TRAM.ONDA","TRAMPA DE ONDA"
"FUGAINT","FUGA INTERNA"
"CORRIGENERADOR","EL GENERADOR CON EXCESIVA CORRIENTE EN EL CAMPO"
"SOBVOLT","SOBREVOLTAJE"
"INTDISPA","INTERRUPTOR DISPARADO FRECUENTEMENTE"
"NOABRETO","NO ABRE TOTALMENTE"
"CUBADET","CUBA DETERIORADA"
"FUG.EJE","FUGAS EN ENTRADA / SALIDA DEL EJE"
"PRESIONOBARES","PRESIÓN NO ALCANZA LOS BARES"
"NUCLOXI","NUCLEO OXIDADO"
"FUG.FLUIPROC","FUGA FLUIDO DE PROCESO"
"NO.CONTRS.EQALA","NO REALIZA EL CONTROL , SENALIZACION, ESTADO DEL EQUIPO Y ALARMAS"
"PERD.PRES","NO HAY PRESION O ES MENOR A LO REQUERIDO"
"DETENIDO","MEDIDOR DETENIDO"
"CHISPOR.CONTAN","CHISPORROTEO EN CONTACTOS ANILLO ESCOBILLA"
"CORTCIRCU","CORTO CIRCUITO"
"PERD.PRES.APER","PERDIDA DE PRESION EN APERTURA"
"SERVO.FALL","SERVOMOTOR DE DEFLECTORES FALLADOS CERRADOS"
"OBRASSECT","OBRAS EN EL SECTOR"
"COLAPSO","COLAPSO"
"NOVISIBL","NO VISIBLE EN CAMPO"
"ELEMEXTR","ELEMENTO EXTRANO (PIEDRAS, PALOS)"
"DEPOCONCR","DEPOSITO DE CONCRETO"
"NO_OPERA","NO OPERA EL EQUIPO"
"MOVTO_EXCESIVO","MOVIMIENTO EXCESIVO DEL EQUIPO"
"CAJATRAN_FALLA","CAJA DE TRANSFERENCIA EN FALLA"
"NO_AGUA_ALTA_P","EQUIPO NO ENVIA AGUA A ALTA PRESION"
"FALL.EMP","FALLA EN EMPALME"
"NODREDERACE","NO DRENA DERRAMES DE ACEITE"
"FREC.RADIO","RADIOFRECUENCIA"
"ESTA50%VOLTAJ","ESTATOR NO ALCANZA 50% DE VOLTAJE NOMINAL"
"VOLTATECHOPOSI","VOLTAJE DE TECHO POSITIVO DURANTE FALLAS"
"SIN VOLT","AUSENCIA DE VOLTAJE"
"ROTURA","ROTURA"
"STD","DETERIORO DEL POSTE"
"FALL.HER","FALLA EN HERRAJES"
"NO.MARCA","NO MARCA NUMERACION"
"DSCC","DEVANADO SECUNDARIO EN CORTO"
"GIRO.PAR","VALVULA GIRA PARCIALMENTE"
"VAELFUERANGO","VARIABLE ELECTRICA ENTREGADA FUERA DE RANGO"
"RECUBRIM","DANO EN EL RECUBRIMIENTO"
"AIS.FALL","AISLADORES FALLADOS"
"SIST_OPERATIV","SISTEMA OPERATIVO"
"BATERIA","BATERIA"
"PERTURBACION","PERTURBACION DE LA SENAL"
"ACERCAMI","ACERCAMIENTO POR ALTURA DEL CONDUCTOR"
"GATEWAY_BLOQ","GATEWAY BLOQUEADO"
"VOL_RNG","SALIDA DE VOLTAJE FUERA DE RANGO"
"PERDTENSION","PERDIDA DE LA TENSION SOBRE LA ESCOCBILLA"
"NOFUERELECTROMO","NO GENERA FUERZA ELECTRO MOTRIZ"
"NOALMACEITE","NO ALMACENA EL ACEITE"
"PROT.COR","PROTECCION POR CORTOCIRCUITO SALTA"
"FALL.AIS","FALLA DE AISLADORES"
"NOHAYINDICAC","NO HAY SEÑALIZACION ELECTRICA ESTADO INTERRUPTOR"
"FALL.LEC","FALLA EN LECTURA DE INSTRUMENTO"
"CAID.PRESION","DISMINUCIÓN PRESION POR DEBAJO DEL VALOR AJUSTADO"
"BPRM","BUJE PRIMARIO AVERIADO"
"SOBREQ","SOBRECARGA"
"FALTAALIMENT","FALTA ALIMENTACION DE CA/CD"
"CANGEST_BLOQ","CANAL DE GESTION BLOQUEADO"
"DRIVER_MODBUS","DRIVER DE COMUNICACION MODBUS"
"FALT.NIVEL","FALTA NIVEL DE ACEITE"
"CORROS.SP.DE","CORROSIÓN DEL SOPORTE DE DESCARGA"
"BLOQUEOMECAN","BLOQUEO MECANICO DEFECTUOSO"
"TAPAROTA","TAPA FRACTURADA"
"EROSION","EROSION"
"PROTECIPRESI","NO ACTUA PROTECCION SOBREPRESION"
"NOPARABOMBA","NO PARAN LAS BOMBAS"
"PARTICULAS","NO PREVIENE INGRESO DE PARTÍCULAS"
"NOCORRIENTE","NO PROPORCIONA LA CORRIENTE DC NECESARIA"
"FALLASUICH","SUICHE NO TRABAJA CORRECTAMENTE"
"ESTADOMOTOBOM","NO INDICA EL ESTADO DE LA MOTOBOMBA"
"RUIDO.CAVIT","RUIDO POR CAVITACIÓN"
"FALL.SELLO","FALLA SELLO"
"FAL.CONT","FALLA EN EL SISTEMA DE CONTROL"
"RODETE.BLOQU","RODETE DE BOMBA BLOQUEADO"
"ESPESOR","PERDIDA DE ESPESOR"
"FALLTER","FALLA EN TERMINALES"
"BDESAJ","BUJE DESAJUSTADO"
"FAISLM","FALLA AISLAMIENTO OCASIONA DESCARGAS A TIERRA"
"SOBRCALENT","SOBRECALENTAMIENTO"
"FALSUMINIS","FALLA EN FUNCIONAMIENTO CUANDO ES REQUERIDO"
"AFLOJAESCOBI","AFLOJAMIENTO ATASCAMIENTO ESCOBILLAS"
"CIRCUITOAL","CIRCUITO FUERA DE SERVICIO"
"CONTAMRECIN","CONTAMINACION DE RECINTO"
"FALLTIER","FALLA A TIERRA"
"TARJ.PRO.NOCOR","TARJETA DE PROCESAMIENTO NO CORRE"
"RGOELEC","LUMINARIA MUY CERCANA A LINEAS DE MEDIA TENSION"
"RAICES","RAICES"
"SUSPENSI_FALLA","SISTEMA DE SUSPENSION EN FALLA"
"DIFERENC_FALLA","DIFERENCIAL EN FALLA"
"OPERA_LENTO","EL EQUIPO OPERA LENTO"
"SERVO_FALLA","SERVOTRANSMISION EN FALLA"
"DANOREJA","DAÑO EN REJA"
"CARROCERIA_DANO","DAÑO EN CARROCERIA"
"AUCAP","AUMENTO DE CAPACIDAD"
"DANO.CON","NO OPERA POR DANO EN SISTEMA DE CONTROL"
"POTBAJA","POTENCIA BAJA"
"NOLUCEACEPTA","NO LUCE ACEPTABLE"
"FUGAACEITE","FUGA DE ACEITE"
"NOENVSENALAR","NO ENVIA SENAL ALARMA"
"PROTECCIONES","PROTECCIONES"
"DANOALARMA","DAR ALARMA PERO LA TEMPERATURA SE ENCUENTRA NORMAL"
"NOSERVMOTOBOM","MOTOBOMBA FUNCIONANDO, EN FUERA DE SERVICIO"
"DEF.ESTR","DEFICIENCIA ESTRUCTURAL"
"PRE.ALTA","PRESION ALTA, SOBREPRESIÓN"
"ATASCAD","ATASCADA (VALVULA NO OPERA)"
"MATE.PART","MATERIAL PARTICULADO"
"FALLAAPERTUR","NO ABRE"
"RTU_BLOQ","RTU BLOQUEADA"
"SUMI_DC","SUMINISTRO DE DC"
"DANO.COM","NO HAY COMUNICACIÓN"
"BLOQUEAD","BLOQUEADA"
"NOENTREGACD","NO ENTREGA CORRIENTE DIRECTA"
"DECT","DECOLORACION DE TERMINALES"
"VIBRACION","VIBRACION"
"FALL.AIC","FALLA EN AISLAMIENTO DEL CABLE"
"DESCAL","DESCALIBRADO, FUERA DE PARAMETROS"
"SINFLUJO","SIN FLUJO"
"BLOQUEOELCTR","BLOQUEO ELECTRICO MALO"
"SER","PROBLEMAS MENORES DURANTE EL FUNCIONAMIENTO"
"MED.RUIDO","MEDIDOR DE GAS CON RUIDO"
"ODO.QUIE","ODOMETRO QUIETO,  NO GIRA"
"PROT.TER","PROTECCION POR EXCESO DE CONSUMO (EL ""TERMICO SATA"""
"AGRIETAD","AGRIETADO"
"FAL.ENER","FALTA DE ENERGÍA"
"IHM_BLOQ","IHM BLOQUEADO"
"NOSENSVELOCID","NO SENSA LA VELOCIDAD"
"TRASV.ENT.MO","TRASVASE ENTRE MODULOS DE ALMACENAMIENTO"
"RET.NACC","RETORNO NO ACCIONADO"
"LODOS","CAMARA CON LODOS"
"GRIECARC","GRIETAS EN CARCASA"
"NOSUMIENER","NO SUMINISTRA ENERGIA"
"VEGETACI","VEGETACION"
"VARIACIVELOCID","NO REGULA VELOCIDAD"
"NOGUIAIRE","NO GUIA AIRE ENFRIAMIENTO A ENFRIADORES AIRE-AGUA"
"CONT.APAG","CONTROLADOR APAGADO"
"NODISPAUNID","NO DA DISPARO DE LA UNIDAD"
"NOINDICAPOSI","NO INDICA LA APERTURA O CIERRE"
"VAL.PASE","VALVULA DE CORTE CON PASE DE GAS"
"MED.BLOQ","MEDIDOR BLOQUEADO"
"NOREFERENCIA","NO REFERENCIA A TIERRA LA CONEXIÓN DELTA"
"FRACT_FISU","FRACTURA / FISURA EN ESTRUCTURA"
"ACEPCB","ACEITE CON PCB MAYOR A 50 PPM"
"METPCB","METALES CON PCB MAYOR A 10 Ug/dm2"
"ESTRUCTURA","ESTRUCTURA"
"TANQPER","TANQUE Y DEVANADO PERFORADO"
"FALLAGENER","FALLA GENERADOR"
"SISTEMAMEDIC","FALLA SISTEMA DE MEDICION"
"FALLFUNCI","FALLA EN FUNCIONAMIENTO CUANDO ES REQUERIDO"
"SIN.VOLT","SIN VOLTAJE DE ALIMENTACION"
"TEMPFUERAGO","TEMPERATURA DE SALIDA DE AGUA FUERA DE RANGO"
"NOENC","LUMINARIA NO ENCIENDE"
"BAJA.FLUJO","BAJO FLUJO AGUA"
"VIBRACABLES","VIBRACION RUIDO EN SISTEMA CABLES"
"LECTUANORM","LECTURA ANORMAL DE INSTRUMENTO"
"DANOCANU","DANO/DETERIORO CANUELA Y/O EMBOQUILLADO"
"DANOCAMC","DANO EN CAMARA DE CAIDA"
"DESLITERR","DESLIZAMIENTO DEL TERRENO"
"CAJA_VEL_FALLA","CAJA DE VELOCIDADES EN FALLA"
"ELECTRIC_FALLA","SISTEMA ELECTRICO EN FALLA"
"MALOLOR","MALOS OLORES"
"AGUALTAP_PARCI","EQUIPO ENVIA AGUA A BAJA O MEDIA PRESION"
"FALL.TER","FALLA EN TERMINAL"
"FUGA.FLUI.CA","FUGA DEL FLUIDO CALIENTE"
"FALT.PRES","FALTA PRESIÓN ACEITE"
"BOMBARESERV","NO ARRANCA LA BOMBA DE RESERVA"
"NOREGULAPOTE","NO REGULA POTENCIA"
"FUGAS","FUGA"
"FALL.NT","FALLA DE NEUTRO"
"MALAJUSTECON","MAL JUSTE EN LOS CONTACTO"
"BAJVOLT","BAJA TENSION"
"NOVISUANIVEL","NO SE VISULIZA EL NIVEL DE ACEITE"
"NOVISUAPRESI","NO SE VISUALIZA LA PRESION"
"TIEMAPER25","TIEMPO DE APERTURA SUPERIOR A 25 mS"
"FUGAMEDIAISL","FUGA DE MEDIO AISLANTE  DEL INTERRUPTOR"
"ALT.TEMPE","ALTA TEMPERATURA DE GAS"
"INC.TEMP.SAL","INCREMENTO EN LA TEMPERATURA DE SALIDA"
"RUID","RUIDO"
"DANOSOFTWARE","SOFTWARE SIN FUNCIONAR"
"ANTENA","ANTENA"
"NOABREVALVADM","NO ABRE LA VÁLVULA DE ADMISION"
"CONECTDEFECT","CONECTOR DEFECTUOSO"
"DANOINFRAEST","DANO INFRAESTUCTURA DE SOPORTE"
"PELIGRO","POSTE EN PELIGRO"
"NO.AUTORIZA","NO AUTORIZA SUMINISTRO DE GAS"
"INDICASUELTO","INDICADOR DE POSICION SUELTO"
"ALTA.TEMP","ALTA TEMPERATURA"
"PRES.CART","PRESIÓN EN EL CARTER"
"FUGA.BOMBA","FUGA EN LA BOMBA"
"FUGAEMP","FUGA POR EMPAQUETADURA"
"CORTO","CORTOCIRCUITO INTERNO DE LA LUMINARIA"
"BARRA ABIERTA","BARRA ABIERTA"
"NOCONTROLNIVEL","NO CONTROLA NIVEL"
"DISCODURO","DISCO DURO"
"ESTRUCTURAL","ESTRUCTURAL"
"MODULO_IO","SENALES ENTRADA O SALIDA"
"DRIVER_61850","DRIVER DE COMUNICACION 61850"
"NOSOPORPESO","NO SOPORTA EL PESO EL ROTOR LOS EJES Y LA TURBINA"
"NOCIEALAB.ESD","NO CIERRA LOS ALABES CUANDO SE PRODUCE UN ESD"
"NO.MEDID","NO HAY MEDIDA"
"NORECTIVOL","NO RECTIFICA VOLTAJE"
"NOCAMBVARIA","NO PERMITE CAMBIAR VARIALBLES A CONTROLAR"
"DEGA","DEGRADACION DE ACEITE"
"NOGIROROTOR","NO PERMITE GIRO CENTRADO DEL ROTOR"
"ALARMA","GENERA EL DISPARO Y/O ALARMA"
"NOPOTENCIAREAC","NO ENTREGA POTENCIA REACTIVA"
"PASE.GAS","PASE DE GAS"
"ALT.VIB","ALTAS VIBRACIONES"
"NODETIENEAIRE","NO PARA AIRE CUANDO EL NIVEL DE ACEITE BAJA"
"NVL.ELEC","SOLUCION ELECTROLITICA EN NIVELES INADECUADOS"
"VAL.SLAM.NOA","VALVULA SLAM NO ARMA"
"VALV.ALI.ABI","VALVULA ALIVIO ABIERTA A PRESIÓN INFERIOR A AJUSTE"
"ACTUAD.NO.OP","ACTUADOR DE DESCARGA NO OPERA"
"ATASCADA","ATASCADA"
"NOSELLA","NO SELLA"
"CONMFAL","CONMUTADOR FALLADO"
"REJILLASUMI","DANO O AUSENCIA DE REJILLA"
"NOTRANSMI","NO TRANSMITE"
"FALINTTE","FALLA EN INTERRUPTOR TERMICO"
"BAVEDES","BUJE AVERIADO O DESAJUSTADO"
"DEVADES","DEVANADO DESPLAZADO"
"NOSISMANVALV","NO REGULA EL SIST EN FORMA MANUAL MEDIANTE LA VÁLV"
"NOABRE.CIERR","EL DEFLECTOR NO ABRE O CIERRA EN UN 100%"
"PERD.AJUST","PERDIDA DEL AJUSTE ENTRE PISTON Y CAMISA"
